YEAR,STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
2022,Nevada,NV,1023617.0,https://silverstateelection.nv.gov/,2491820.0,10.49,10241.0,0.0,0.0,10241.0,,2220187.0,46.1,41.08
2022,New Hampshire,NH,626931.0,https://www.sos.nh.gov/elections/elections/election-results/2022-general-election-results,1145802.0,2.63,1083.0,0.0,0.0,1083.0,,1114584.0,56.25,54.72
2022,New Jersey,NJ,2645539.0,https://www.nj.gov/state/elections/election-information-2022.shtml,7255588.0,11.26,12537.0,0.0,0.0,12537.0,,6426071.0,41.17,36.46
2022,New Mexico,NM,714754.0,https://electionresults.sos.state.nm.us/default.aspx,1656613.0,6.28,3666.0,6513.0,2496.0,12675.0,,1539903.0,46.42,43.15
2022,New York,NY,5962278.0,https://www.elections.ny.gov/,15633935.0,10.25,30192.0,0.0,0.0,30192.0,,14001265.0,42.58,38.14
2022,North Carolina,NC,3790202.0,https://er.ncsbe.gov/,8411001.0,5.45,29607.0,0.0,0.0,29607.0,,7922995.0,47.84,45.06
2022,North Dakota,ND,242566.0,https://results.sos.nd.gov/Default.aspx?map=Cty&mode=0,596109.0,3.16,1390.0,0.0,0.0,1390.0,,575882.0,42.12,40.69
2022,Ohio,OH,4201368.0,https://www.ohiosos.gov/elections/election-results-and-data/2022-official-election-results/,9180896.0,2.56,44788.0,0.0,0.0,44788.0,,8901077.0,47.2,45.76
2022,Oklahoma,OK,1153284.0,https://results.okelections.us/OKER/?elecDate=20221108,3064908.0,4.39,22941.0,14495.0,1818.0,39254.0,,2891104.0,39.89,37.63
2022,Oregon,OR,1997689.0,https://sos.oregon.gov/elections/Pages/electionhistory.aspx,3396232.0,6.05,12167.0,0.0,0.0,12167.0,,3178593.0,62.85,58.82
2022,Pennsylvania,PA,5410022.0,https://www.eac.gov/sites/default/files/2023-06/2022_EAVS_Report_508c.pdf,10323843.0,3.67,37910.0,0.0,0.0,37910.0,,9907048.0,54.61,52.4
2022,Rhode Island,RI,361449.0,https://elections.ri.gov/sites/g/files/xkgbur756/files/2023-06/STATEWIDE%20SUMMARY.pdf,889425.0,7.6,2075.0,0.0,0.0,2075.0,,819753.0,44.09,40.64
2022,South Carolina,SC,1718626.0,https://www.enr-scvotes.org/SC/115412/Web02-state.307150/#/?undefined,4175307.0,3.04,16248.0,16985.0,4019.0,37252.0,,4011126.0,42.85,41.16
2022,South Dakota,SD,354670.0,https://electionresults.sd.gov/default.aspx,691460.0,1.85,2933.0,3744.0,3611.0,10288.0,,668380.0,53.06,51.29
2022,Tennessee,TN,1756397.0,https://www.eac.gov/sites/default/files/2023-06/2022_EAVS_Report_508c.pdf,5508108.0,3.53,16590.0,38357.0,12816.0,67763.0,,5245909.0,33.48,31.89
2022,Texas,TX,8151590.0,https://www.eac.gov/sites/default/files/2023-06/2022_EAVS_Report_508c.pdf,22656456.0,11.71,139380.0,236717.0,104277.0,480374.0,,19523011.0,41.75,35.98
2022,Utah,UT,1084634.0,https://vote.utah.gov/wp-content/uploads/sites/42/2022/12/Signed-2022-General-Election-State-Canvass-Certification.pdf,2454289.0,6.42,5991.0,0.0,0.0,5991.0,,2290732.0,47.35,44.19
2022,Vermont,VT,291955.0,https://sos.vermont.gov/elections/election-info-resources/elections-results-data/,531550.0,1.6,0.0,0.0,0.0,0.0,,523045.0,55.82,54.93
2022,Virginia,VA,3021956.0,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Statistics/Index.html,6805250.0,5.96,26498.0,39416.0,1917.0,67831.0,,6331826.0,47.73,44.41
2022,Washington,WA,3067686.0,https://results.vote.wa.gov/results/20221108/,6133923.0,8.99,13762.0,0.0,0.0,13762.0,,5568721.0,55.09,50.01
2022,West Virginia,WV,494753.0,https://results.enr.clarityelections.com/WV/115844/web.307039/#/summary,1418697.0,0.9,5436.0,3965.0,3207.0,12608.0,,1393321.0,35.51,34.87
2022,Wisconsin,WI,2673154.0,https://www.eac.gov/sites/default/files/2023-06/2022_EAVS_Report_508c.pdf,4640711.0,3.0,20839.0,25838.0,22965.0,69642.0,,4431848.0,60.32,57.6
2022,Wyoming,WY,198198.0,https://sos.wyo.gov/Elections/Docs/2022/2022GeneralResults.aspx,451876.0,1.98,2154.0,3049.0,868.0,6071.0,,436858.0,45.37,43.86
2020,United States,,159738337.0,,259219518.0,7.5,1154741.0,863136.0,499380.0,2671296.0,4971025.0,242077783.0,65.99,61.62
2020,Alabama,AL,2325000.0,,3939759.0,2.3,25328.0,24652.0,8245.0,66284.0,,3782861.0,61.46,59.01
2020,Alaska,AK,361400.0,,556443.0,3.5,4578.0,1268.0,1003.0,7263.0,,529649.0,68.23,64.95
2020,Arizona,AZ,3420585.0,,5672442.0,7.9,34997.0,37932.0,6887.0,92217.0,,5133804.0,66.63,60.3
2020,Arkansas,AR,1223675.0,,2332442.0,3.6,15850.0,20733.0,25852.0,69213.0,,2178328.0,56.17,52.46
2020,California,CA,17785151.0,,30490123.0,14.6,97328.0,0.0,110349.0,207677.0,,25840035.0,68.83,58.33
2020,Colorado,CO,3295666.0,,4579181.0,5.8,14990.0,0.0,0.0,14990.0,,4297225.0,76.69,71.97
2020,Connecticut,CT,1861086.0,,2887773.0,7.6,9297.0,0.0,4080.0,13377.0,,2655214.0,70.09,64.45
2020,Delaware,DE,509241.0,,798104.0,5.1,4653.0,5278.0,373.0,12030.0,,745131.0,68.34,63.81
2020,District of Columbia,DC,346491.0,,544795.0,7.7,0.0,0.0,0.0,0.0,,503118.0,68.87,63.6
2020,Florida,FL,11144855.0,,17593558.0,9.4,75977.0,93389.0,4280.0,204177.0,,15742624.0,70.79,63.35
2020,Georgia,GA,5023159.0,,8282660.0,5.9,44796.0,177546.0,19447.0,299832.0,,7490838.0,67.06,60.65
2020,Hawaii,HI,579784.0,,1145618.0,8.2,4097.0,0.0,0.0,4097.0,,1047466.0,55.35,50.61
2020,Idaho,ID,878527.0,,1443536.0,4.0,7996.0,14257.0,5967.0,32881.0,,1352914.0,64.94,60.86
2020,Illinois,IL,6050000.0,,9910732.0,7.9,28582.0,0.0,0.0,28582.0,,9095238.0,66.52,61.04
2020,Indiana,IN,3068542.0,,5240144.0,3.7,23458.0,0.0,0.0,23458.0,,5025421.0,61.06,58.56
2020,Iowa,IA,1700130.0,,2469708.0,3.1,8128.0,12916.0,7261.0,32528.0,,2360125.0,72.04,68.84
2020,Kansas,KS,1375125.0,,2242018.0,4.7,8477.0,8254.0,5428.0,24858.0,,2112458.0,65.1,61.33
2020,Kentucky,KY,2150954.0,,3499169.0,2.5,18433.0,28839.0,14429.0,71129.0,,3339511.0,64.41,61.47
2020,Louisiana,LA,2169401.0,,3552258.0,2.9,26851.0,14507.0,21566.0,67667.0,,3382286.0,64.14,61.07
2020,Maine,ME,828305.0,,1127932.0,1.9,0.0,0.0,0.0,0.0,,1106276.0,74.87,73.44
2020,Maryland,MD,3066945.0,,4820237.0,8.1,14918.0,0.0,0.0,14918.0,,4416326.0,69.45,63.63
2020,Massachusetts,MA,3658005.0,,5638722.0,8.9,5993.0,0.0,0.0,5993.0,,5129755.0,71.31,64.87
2020,Michigan,MI,5579317.0,,7907056.0,3.3,33246.0,0.0,0.0,33246.0,,7615249.0,73.27,70.56
2020,Minnesota,MN,3292997.0,,4408498.0,4.0,7681.0,44332.0,7359.0,73865.0,,4157411.0,79.21,74.7
2020,Mississippi,MS,1325000.0,,2265253.0,1.4,17569.0,15092.0,10510.0,48106.0,,2185433.0,60.63,58.49
2020,Missouri,MO,3026028.0,,4800088.0,2.3,22890.0,20149.0,20729.0,70356.0,,4620290.0,65.49,63.04
2020,Montana*,MT,612075.0,,873659.0,1.4,3910.0,0.0,0.0,3910.0,,857955.0,71.34,70.06
2020,Nebraska,NE,966920.0,,1484568.0,4.7,5071.0,5956.0,1156.0,14130.0,,1400069.0,69.06,65.13
2020,Nevada,NV,1407754.0,,2455546.0,10.3,10455.0,0.0,0.0,10455.0,,2191188.0,64.25,57.33
2020,New Hampshire,NH,814499.0,,1132908.0,2.6,2158.0,0.0,0.0,2158.0,,1101294.0,73.96,71.89
2020,New Jersey,NJ,4635585.0,,7261675.0,11.2,11896.0,0.0,0.0,11896.0,,6435019.0,72.04,63.84
2020,New Mexico,NM,928230.0,,1649222.0,6.0,5377.0,6075.0,2725.0,16163.0,,1534600.0,60.49,56.28
2020,New York,NY,8690139.0,,15787812.0,10.3,32574.0,0.0,43979.0,76553.0,,14081957.0,61.71,55.04
2020,North Carolina,NC,5545848.0,,8284274.0,5.4,28406.0,0.0,0.0,28406.0,,7811002.0,71.0,66.94
2020,North Dakota,ND,364251.0,,594772.0,2.7,1384.0,0.0,0.0,1384.0,,577567.0,63.07,61.24
2020,Ohio,OH,5974121.0,,9184163.0,2.5,44608.0,0.0,0.0,44608.0,,8906277.0,67.08,65.05
2020,Oklahoma,OK,1565000.0,,3040979.0,4.1,22071.0,11974.0,2237.0,40197.0,,2875494.0,54.43,51.46
2020,Oregon,OR,2413890.0,,3405290.0,5.5,12753.0,0.0,0.0,12753.0,,3204224.0,75.33,70.89
2020,Pennsylvania*,PA,6958551.0,,10363451.0,3.6,38938.0,0.0,0.0,38938.0,,9950392.0,69.93,67.15
2020,Rhode Island,RI,522488.0,,890532.0,6.8,2227.0,0.0,0.0,2227.0,,828194.0,63.09,58.67
2020,South Carolina,SC,2533010.0,,4087762.0,3.3,15787.0,13722.0,4638.0,38633.0,,3914642.0,64.71,61.97
2020,South Dakota,SD,427529.0,,678680.0,2.2,3176.0,3926.0,3673.0,12059.0,,651554.0,65.62,62.99
2020,Tennessee,TN,3065000.0,,5439926.0,3.5,22205.0,31486.0,12407.0,76392.0,,5174225.0,59.24,56.34
